,c2,c4,c5,c6
0,Following the notation in section 21  the ijth entry of the matrix W is defined as in   Wj  1  e Wz  where Cj is the total number of words in the jth sentence pair,Fundamental,Idea,1
1,For the simple bagofword bilingual LSA as described in Section 221  after SVD on the sparse matrix using the toolkit SVDPACK    all source and target words are projected into a lowdimensional R  88 LSAspace,Fundamental,Basis,1
2,Discriminative word alignment models  such as Ittycheriah and Roukos   Moore   Blunsom and Cohn    have received great amount of study recently,BackGround,GRelated,1
3,For instance  the 1 most relaxed IBM Model1  which assumes that any source word can be generated by any target word equally regardless of distance  can be improved by demanding a Markov process of alignments as in HMMbased models    or implementing a distribution of number of target words linked to a source word as in IBM fertilitybased models  ,BackGround,GRelated,1
4,It can be applied to complicated models such IBM Model4  ,BackGround,SRelated,1
5,The language model is a statistical trigram model estimated with Modified KneserNey smoothing   using all English sentences in the parallel training data,Fundamental,Basis,1
6,LSA has been successfully applied to information retrieval    statistical langauge modeling   and etc,BackGround,GRelated,2
7,Alternative constructions of the matrix are possible using raw counts or TFIDF  ,BackGround,SRelated,1
8,It has been shown that human knowledge  in the form of a small amount of manually annotated parallel data to be used to seed or guide model training  can significantly improve word alignment Fmeasure and translation performance  ,BackGround,GRelated,2
9,Our decoder is a phrasebased multistack implementation of the loglinear model similar to Pharaoh  ,Fundamental,Idea,1
10,Since Arabic is a morphologically rich language where affixes are attached to stem words to indicate gender  tense  case and etc  in order to reduce vocabulary size and address outofvocabulary words  we split Arabic words into affix and root according to a rulebased segmentation scheme   with the help from the Buckwalter analyzer   output,Fundamental,Basis,1
11,Basic models in two translation directions are trained simultaneously where statistics of two directions are shared to learn symmetric translation lexicon and word alignments with high precision motivated by   and  ,Fundamental,Idea,2
12,In    bilingual semantic maps are constructed to guide word alignment,BackGround,SRelated,1
13,As formulated in the competitive linking algorithm    the problem of word alignment can be regarded as a process of word linkage disambiguation  that is  choosing correct associations among all competing hypothesis,BackGround,GRelated,1
